iter	Passed	Remaining
0	243	13156
1	482	12787
2	736	12774
3	1108	14128
4	1377	13774
5	1638	13377
6	1889	12955
7	2128	12502
8	2386	12196
9	2616	11772
10	2867	11470
11	3115	11165
12	3346	10812
13	3582	10492
14	3819	10186
15	4075	9933
16	4326	9671
17	4580	9415
18	4821	9135
19	5078	8887
20	5312	8600
21	5578	8367
22	5833	8115
23	6071	7841
24	6333	7599
25	6589	7349
26	6821	7074
27	7075	6822
28	7324	6566
29	7560	6300
30	7827	6060
31	8070	5800
32	8331	5554
33	8612	5319
34	8888	5079
35	9125	4816
36	9377	4561
37	9628	4307
38	9895	4059
39	10135	3800
40	10373	3542
41	10665	3301
42	10915	3046
43	11174	2793
44	11413	2536
45	11655	2280
46	11907	2026
47	12167	1774
48	12444	1523
49	12689	1268
50	12929	1014
51	13192	761
52	13417	506
53	13709	253
54	13946	0
